time,open,high,low,close
1740355200,96258,96320,96194.88,96256.98
1740355500,96256.97,96450,96256.97,96449.99
1740355800,96450,96500,96416.02,96465.82
1740356100,96465.81,96474.27,96315.11,96396.34
1740356400,96396.34,96434,96322.41,96426.78
1740356700,96426.78,96452.84,96373.88,96408.6
1740357000,96408.6,96409.7,96275.09,96275.1
1740357300,96275.1,96312.31,96240.01,96259.69
1740357600,96259.7,96327.68,96157.42,96292.8
1740357900,96292.81,96433.97,96292.8,96396.85
1740358200,96396.85,96499,96352.94,96352.94
1740358500,96352.95,96360,96240.65,96247.35
1740358800,96247.36,96285.51,96200,96200
1740359100,96200,96339.63,96200,96232.02
1740359400,96232.01,96232.01,96069.51,96131.53
1740359700,96131.54,96226.41,96060,96178.02
1740360000,96178.01,96299,96140,96140
1740360300,96140.01,96181.33,96080,96092.52
1740360600,96092.52,96108,95966.4,95966.41
1740360900,95966.4,96096,95954.58,96023.11
1740361200,96023.12,96025.99,95763.43,95852.73
1740361500,95852.73,95980.93,95770,95787.05
1740361800,95787.06,95960,95773.58,95902.11
1740362100,95902.11,95990.22,95893.22,95971.24
1740362400,95971.25,95971.25,95849.05,95915.53
1740362700,95915.54,96136.9,95915.54,96136.89
1740363000,96136.89,96200,96084,96084.01
1740363300,96084.01,96114.58,96000,96000
1740363600,96000.01,96000.01,95813.04,95904.53
1740363900,95904.53,95985.99,95885.57,95972.43
1740364200,95972.44,95983.73,95902.59,95967.96
1740364500,95967.97,96071.42,95967.96,96053.82
1740364800,96053.83,96074.98,95912.96,95943.45
1740365100,95943.46,96010.94,95862.61,96003.99
1740365400,96004,96037.74,95903.84,95904.01
1740365700,95904.01,95912,95752.68,95829.35
1740366000,95829.36,95829.36,95675.32,95740.34
1740366300,95740.34,95773.59,95674.95,95773.58
1740366600,95773.58,95795.87,95717.98,95742.63
1740366900,95742.62,95742.62,95650,95731.41
1740367200,95731.42,95731.42,95615,95615
1740367500,95615,95677.8,95484,95515.01
1740367800,95515.01,95552.63,95311,95550.02
1740368100,95550.03,95691.74,95550.03,95665.75
1740368400,95665.75,95780,95637.63,95747.13
1740368700,95747.13,95778.21,95565.22,95598.65
1740369000,95598.64,95630.05,95500,95530
1740369300,95530,95530,95433.21,95433.21
1740369600,95433.21,95541.4,95376.21,95466.06
1740369900,95466.06,95597.02,95446.56,95586.55
1740370200,95586.56,95586.56,95420.13,95473.09
1740370500,95473.1,95483.81,95410.97,95452.01
1740370800,95452,95463.73,95351.76,95417.67
1740371100,95417.67,95426,95289.77,95350
1740371400,95350,95383.12,95167,95254.08
1740371700,95254.08,95270.05,95078.01,95168.86
1740372000,95168.86,95282.68,95102.24,95256
1740372300,95256,95433.01,95245.28,95400.01
1740372600,95400,95413.98,95269.15,95272.02
1740372900,95272.02,95305.96,95234,95298
1740373200,95298,95371.5,95245.28,95266.65
1740373500,95266.65,95398.67,95240.01,95398.66
1740373800,95398.67,95494,95388.43,95471.59
1740374100,95471.59,95560.01,95471.59,95476
1740374400,95476,95492,95395.54,95429.98
1740374700,95429.98,95527.94,95373.07,95500.74
1740375000,95500.74,95664,95487.71,95650
1740375300,95649.99,95720.34,95613.25,95720
1740375600,95720,95727.27,95661.13,95698.12
1740375900,95698.12,95713.5,95669.48,95672.51
1740376200,95672.51,95739.19,95672.49,95739.19
1740376500,95739.18,95764.99,95712.44,95727.39
1740376800,95727.39,95742,95662.94,95724
1740377100,95724,95735.85,95665.62,95716.26
1740377400,95716.26,95716.26,95664,95664.95
1740377700,95664.94,95680.02,95619.97,95619.98
1740378000,95619.98,95732.85,95609.78,95732.85
1740378300,95732.85,95745.99,95678.64,95678.65
1740378600,95678.65,95756,95678.64,95690.43
1740378900,95690.44,95787.99,95690.43,95787.98
1740379200,95787.99,95811.33,95700,95729.64
1740379500,95729.64,95896,95727.43,95811.78
1740379800,95811.79,95846.59,95753.32,95805.09
1740380100,95805.09,95866,95773.39,95864.31
1740380400,95864.31,95909.83,95857.63,95909.83
1740380700,95909.83,95945,95859.45,95859.46
1740381000,95859.46,95867.94,95747.73,95772.96
1740381300,95772.97,95772.97,95696,95766.99
1740381600,95766.99,95798,95731.38,95797.99
1740381900,95798,95831.98,95796.9,95804.27
1740382200,95804.28,95916.03,95783.59,95886.53
1740382500,95886.53,95912.05,95832.08,95857.77
1740382800,95857.77,95871.06,95751.07,95753.88
1740383100,95753.88,95795.99,95719.64,95791.36
1740383400,95791.36,95880.38,95791.35,95868.19
1740383700,95868.19,95895.82,95868.18,95872.02
1740384000,95872.02,95945,95853,95924.17
1740384300,95924.17,95924.18,95753,95753
1740384600,95753,95767.38,95679.95,95719.8
1740384900,95719.8,95723.87,95617.96,95617.97
1740385200,95617.96,95617.97,95465.68,95532.41
1740385500,95532.4,95563.32,95411.1,95423.99
1740385800,95423.99,95516,95375.89,95476
1740386100,95476,95562.64,95442.41,95480
1740386400,95480,95582.05,95479.99,95544.32
1740386700,95544.32,95601.38,95509.43,95568
1740387000,95568,95568.01,95460,95518.58
1740387300,95518.58,95583.76,95484.08,95509.49
1740387600,95509.5,95700,95499.94,95681.31
1740387900,95681.3,95752.51,95652.65,95677.85
1740388200,95677.85,95757.89,95677.85,95730
1740388500,95730,95735.84,95698.12,95698.12
1740388800,95698.12,95811.79,95680.73,95811.78
1740389100,95811.78,96087.56,95811.78,96019.5
1740389400,96019.5,96177.18,95994.59,96065.37
1740389700,96065.36,96065.36,95903.41,95942.69
1740390000,95942.69,95950,95831.79,95847.19
1740390300,95847.2,95857.99,95569.59,95569.59
1740390600,95569.59,95697.5,95553.94,95690.88
1740390900,95690.89,95799.99,95690.88,95765.76
1740391200,95765.76,95891.46,95742,95873.99
1740391500,95873.98,95915.97,95676.14,95709.48
1740391800,95709.49,95765.82,95709.48,95756.57
1740392100,95756.57,95770.4,95648.78,95714
1740392400,95714,95714,95562,95598.29
1740392700,95598.3,95666,95576.37,95577.83
1740393000,95577.82,95640,95412.64,95452.81
1740393300,95452.81,95452.81,95355,95419.12
1740393600,95419.11,95567.5,95379.99,95553.47
1740393900,95553.46,95689.89,95512.09,95680.18
1740394200,95680.19,95696.68,95615.64,95627.99
1740394500,95628,95652.38,95627.68,95631.66
1740394800,95631.66,95681.99,95597.36,95597.37
1740395100,95597.37,95639.48,95485.41,95554
1740395400,95554.35,95593.13,95432.61,95471.59
1740395700,95471.59,95507.85,95411.01,95411.02
1740396000,95411.02,95523.24,95411.01,95523.24
1740396300,95523.24,95710.61,95523.23,95710.61
1740396600,95710.61,95723.63,95665.99,95702.48
1740396900,95702.49,95769.48,95678.36,95769.47
1740397200,95769.48,95809.59,95756.88,95772.86
1740397500,95772.86,95781.33,95719.33,95750.47
1740397800,95750.46,95860,95750.46,95850.01
1740398100,95850,95850,95820,95821.45
1740398400,95821.45,95831.44,95679.74,95683.93
1740398700,95683.94,95778.21,95683.93,95778.2
1740399000,95778.21,95800,95706.75,95787.59
1740399300,95787.6,95787.6,95746,95775.03
1740399600,95775.04,95882,95775.03,95808.1
1740399900,95808.09,95832,95762.15,95832
1740400200,95831.99,95857.62,95790,95847.9
1740400500,95847.9,95946.61,95806,95929.99
1740400800,95929.98,95939.58,95835.58,95846.91
1740401100,95846.92,95886.43,95764.01,95802
1740401400,95802,95866.4,95745.46,95782.04
1740401700,95782.04,95798.46,95746.82,95798.46
1740402000,95798.46,95853.99,95339.35,95438.67
1740402300,95438.6,95676.47,95350.24,95566.3
1740402600,95566.3,95786.7,95547.17,95778
1740402900,95777.99,95991.99,95720.38,95809.06
1740403200,95809.07,95972.96,95804.55,95900.01
1740403500,95900.01,95976.08,95900,95960.74
1740403800,95960.74,96095.32,95938.73,95965.16
1740404100,95965.17,96046,95960,96004.96
1740404400,96004.95,96004.96,95860.1,95874.4
1740404700,95874.41,95896.4,95819.16,95873.6
1740405000,95873.61,95911.74,95703.64,95726.86
1740405300,95726.86,95735.48,95591.55,95594.57
1740405600,95594.57,95773.59,95594.56,95662.59
1740405900,95662.6,95714.96,95495.55,95555
1740406200,95555.01,95615.91,95400,95412.01
1740406500,95412,95533.55,95386,95526.01
1740406800,95526.01,95526.01,95437.51,95490.02
1740407100,95490.01,95575.23,95389,95389.01
1740407400,95389,95800,95389,95504
1740407700,95504,95543.42,95379.76,95394
1740408000,95394,95448.51,95100.66,95140.5
1740408300,95140.5,95288.04,95089.01,95100.9
1740408600,95100.91,95100.91,94761.59,94821.99
1740408900,94822,94834.85,94578,94674.44
1740409200,94674.45,94690.3,94340,94416.21
1740409500,94416.21,94664.36,94188,94447.51
1740409800,94447.5,94960,94433.92,94855.35
1740410100,94855.35,94959.81,94422.5,94486
1740410400,94486,94728.25,94421.87,94681.81
1740410700,94681.81,94698,94310,94333.52
1740411000,94333.53,94477.99,94269.99,94270
1740411300,94270,94310.05,94142.85,94144
1740411600,94144,94298.76,94100,94100.01
1740411900,94100,94148.87,93817.06,93932.79
1740412200,93932.78,94210.3,93900,94000.01
1740412500,94000.01,94360,93945,94323.95
1740412800,94323.95,94354.32,94153.72,94310.32
1740413100,94310.33,94693.94,94310.32,94670
1740413400,94670,94980,94652.3,94726.87
1740413700,94726.87,94809,94459.45,94493.76
1740414000,94493.75,94693.99,94428.57,94690.21
1740414300,94690.2,94910.98,94680.47,94783.79
1740414600,94783.79,94829.06,94642.01,94758.08
1740414900,94758.07,94758.08,94555.66,94564.02
1740415200,94564.01,94800,94489.97,94774.11
1740415500,94774.11,94891.9,94546.31,94546.31
1740415800,94546.31,94600,94428.57,94580.78
1740416100,94580.79,94580.79,94319.99,94434.49
1740416400,94434.48,94538.34,94328.01,94528.14
1740416700,94528.15,94588.24,94361.24,94522.96
1740417000,94522.97,94675.68,94482,94613.14
1740417300,94613.13,94974.87,94585.23,94940.33
1740417600,94940.33,95194.59,94890.98,94954.99
1740417900,94954.99,95066.39,94879.34,94949.86
1740418200,94949.85,95083.05,94881.5,94942.05
1740418500,94942.05,95122.24,94904.01,95117.28
1740418800,95117.29,95128.97,95028.63,95118.06
1740419100,95118.05,95167.4,94916.67,94968
1740419400,94968.01,94980.69,94725,94756.93
1740419700,94756.92,94760.22,94573.54,94644
1740420000,94644.01,94744.04,94590.18,94623.22
1740420300,94623.22,94729.73,94504.93,94719.14
1740420600,94719.15,94759,94631.16,94667.99
1740420900,94667.99,94852.59,94645.98,94816.9
1740421200,94816.9,94832.62,94575.15,94643.98
1740421500,94643.99,94658.66,94503.5,94503.51
1740421800,94503.5,94558.1,94370.53,94519.54
1740422100,94519.54,94519.55,94381.88,94441.06
1740422400,94441.07,94509.42,94357.46,94359.53
1740422700,94359.53,94385.99,94259.97,94375.56
1740423000,94375.56,94467.98,94326,94332.79
1740423300,94332.79,94347.64,94135.13,94161.67
1740423600,94161.66,94405.4,94144.41,94353.3
1740423900,94353.3,94374.03,94189.18,94210.85
1740424200,94210.85,94405.41,94117.64,94315.75
1740424500,94315.76,94452.72,94243.24,94309.53
1740424800,94309.52,94559.05,94248,94487.86
1740425100,94487.85,94546.19,94358.95,94387.36
1740425400,94387.36,94485.37,94261.62,94261.62
1740425700,94261.63,94297.3,94102,94114.01
1740426000,94114.01,94148,93704.73,93770.05
1740426300,93770.05,94000,93666.22,93967.48
1740426600,93967.48,94122,93856.78,94003.9
1740426900,94003.9,94047.86,93855.55,93943.51
1740427200,93943.52,94114.35,93830.66,94107.65
1740427500,94107.65,94258.4,93991.49,94216.02
1740427800,94216.01,94318.43,94160,94260.01
1740428100,94260.01,94478.61,94215.25,94272.26
1740428400,94272.25,94442.9,94204,94250.01
1740428700,94250.02,94295.6,94130,94180
1740429000,94180.01,94539.84,94180.01,94515.65
1740429300,94515.66,94545.79,94420.13,94507.9
1740429600,94507.9,94507.9,94310.01,94362
1740429900,94362,94570,94354,94570
1740430200,94570,94571.43,94189.18,94200.01
1740430500,94200.01,94227.47,93975.73,94020
1740430800,94019.99,94070.53,93900,93900.01
1740431100,93900.01,93900.01,93618,93737.38
1740431400,93737.39,93972.98,93692.4,93861.6
1740431700,93861.58,94111.01,93850,94023.66
1740432000,94024.19,94117.59,94024.19,94106.09
1740432300,94106.09,94111.64,94058.38,94100.38
1740432600,94100.39,94319.99,94100.38,94267.55
1740432900,94267.55,94342.11,94213.77,94342.11
1740433200,94342.1,94349.22,94226.25,94243.42
1740433500,94243.42,94260.85,93992.94,94016.24
1740433800,94016.24,94124.63,93992.91,94124.63
1740434100,94124.63,94234.39,93964.68,93979.44
1740434400,93979.45,93996,93351.75,93603.02
1740434700,93603.02,93756.76,93451.57,93451.58
1740435000,93451.57,93497.22,93111,93166.07
1740435300,93166.07,93319.3,92899,93200
1740435600,93199.99,93270.28,92978.07,93270.27
1740435900,93270.28,93637.13,93270.27,93507.72
1740436200,93507.73,93613.1,93507.72,93587.13
1740436500,93587.14,93587.14,93153.29,93236.55
1740436800,93236.54,93284.19,92934.54,93135
1740437100,93135,93136.51,92634.36,92637.53
1740437400,92637.52,92950.7,92542.5,92920
1740437700,92919.99,92930,92368,92432.06
1740438000,92432.07,92771.61,92275.03,92725.8
1740438300,92725.8,92871.89,92541.22,92846.6
1740438600,92846.59,92846.6,92500,92500
1740438900,92500.01,92669.2,92338.38,92597.09
1740439200,92597.1,92742.69,92300,92300
1740439500,92300,92300,92002.78,92034.77
1740439800,92034.78,92187.49,91898,91931.96
1740440100,91931.95,92035.79,91607,92000
1740440400,92000,92237.37,91829.57,92033.06
1740440700,92033.06,92073.35,91701.18,91705.56
1740441000,91705.72,91720.46,91400,91453.65
1740441300,91453.66,91588.61,91349.26,91552.88
1740441600,91552.88,91960.98,91470.78,91670.09
1740441900,91670.08,91800,91374.94,91477.71
1740442200,91477.71,91477.71,90912.01,91006.62
1740442500,91006.61,91883.85,90959.97,91883.85
1740442800,91883.85,92128.33,91808.85,92030.97
1740443100,92030.97,92049.79,91632.99,91662.16
1740443400,91662.16,91869.02,91444.44,91594
1740443700,91594.01,91844.37,91477.23,91640.63
1740444000,91638.98,91922.21,91576.9,91646.24
1740444300,91646.25,91922.21,91463,91907.54
1740444600,91907.56,92162.37,91864.74,91947.26
1740444900,91947.26,92106.02,91823.14,91857.29
1740445200,91857.3,92025,91726.15,91750.01
1740445500,91750.01,91753.67,91435,91481.19
1740445800,91481.19,91727.11,91165.18,91727.1
1740446100,91727.11,91912.73,91584.59,91766.6
1740446400,91767.54,92024.41,91631.67,92010.16
1740446700,92010.16,92044.62,91750,91793.48
1740447000,91793.48,92080,91746.13,92043.82
1740447300,92043.82,92268.35,91826.08,92268.35
1740447600,92268.35,92401.01,92235.96,92360
1740447900,92360.01,92373.67,92067.48,92130
1740448200,92130,92145.84,91790.03,91870.28
1740448500,91870.28,92052.56,91845.64,92018.41
1740448800,92018.41,92307.55,92009.09,92242.15
1740449100,92242.15,92311.57,92023.14,92038.4
1740449400,92038.4,92078,91800,91808.65
1740449700,91808.65,91909.15,91609.93,91717.6
1740450000,91717.6,91907.8,91595,91907.8
1740450300,91907.79,92111.12,91892.01,92098.71
1740450600,92098.7,92217.7,91981.37,92093.69
1740450900,92093.69,92230.15,92028.77,92182.58
1740451200,92182.57,92325.35,92175.79,92325.35
1740451500,92325.35,92536.93,92306,92470.01
1740451800,92470.01,92528.63,92376.8,92504.35
1740452100,92504.35,92504.35,92340,92376.68
1740452400,92376.68,92540.69,92334.52,92417.59
1740452700,92417.59,92417.59,92251.1,92317.36
1740453000,92317.37,92326.49,92151.5,92151.5
1740453300,92151.5,92212.86,92066.66,92066.66
1740453600,92066.66,92084.42,91944.73,92030
1740453900,92030,92230.77,92026,92075.48
1740454200,92075.48,92333.34,92066.66,92094.25
1740454500,92094.24,92230.77,92008.35,92200.01
1740454800,92200,92384.62,92177.18,92294.14
1740455100,92294.14,92519.95,92285.61,92504.99
1740455400,92505,92538.47,92323.67,92389.58
1740455700,92389.58,92389.59,92126.99,92153.93
1740456000,92153.93,92161.47,91875,92002.01
1740456300,92002.02,92041.01,91915.57,91991.12
1740456600,91991.12,92076.93,91812.7,92076.93
1740456900,92076.92,92311.57,92074.79,92209.56
1740457200,92209.55,92327.88,92145.74,92236.32
1740457500,92236.31,92315.22,92181.75,92294.84
1740457800,92294.84,92312.5,91888.88,91947.17
1740458100,91947.16,91979.99,91857.26,91888
1740458400,91888,92150,91884.57,92019.98
1740458700,92019.99,92047.61,91900,92043.94
1740459000,92043.93,92105.05,92006.08,92032.45
1740459300,92032.46,92083.75,91900,91900.01
1740459600,91900.01,91900.01,91706.87,91814.06
1740459900,91814.07,92000,91741.48,91894.79
1740460200,91894.8,91973.39,91830.46,91953.12
1740460500,91953.12,92111.12,91916.33,92108
1740460800,92108.01,92111.12,92012.63,92070
1740461100,92069.99,92074,91860,91918.42
1740461400,91918.42,92065.12,91918.41,92000.19
1740461700,92000.19,92037.6,91932.16,92005.8
1740462000,92005.79,92005.8,91829.98,91932
1740462300,91932,92000,91903.82,91959.88
1740462600,91959.89,91959.89,91850,91949.5
1740462900,91949.5,92086.96,91949.5,92070.34
1740463200,92070.35,92128.51,91854.27,91854.28
1740463500,91854.28,91912.7,91768,91788.58
1740463800,91788.58,91800,91739.44,91758.23
1740464100,91758.22,91766.03,91603.8,91621.23
1740464400,91621.22,91666.67,91532.6,91636.96
1740464700,91636.95,91636.96,91538.88,91560
1740465000,91560,91671.53,91500,91500.04
1740465300,91500.04,91500.04,91367.63,91499.51
1740465600,91499.5,91615.39,91467.39,91584.83
1740465900,91584.84,91689,91521.15,91616.12
1740466200,91616.13,91616.13,91289.79,91289.8
1740466500,91289.8,91350,91206.92,91275.99
1740466800,91276,91441.82,91234.11,91270.01
1740467100,91270.01,91346.16,90938.05,90938.05
1740467400,90938.05,91052.72,90050.01,90383.97
1740467700,90383.96,90727.89,90305.26,90395.5
1740468000,90395.5,90436,89669.99,89670
1740468300,89670,89695.18,88992.92,89405.59
1740468600,89405.59,89568.8,89000,89000
1740468900,89000,89028.93,88200,88992.01
1740469200,88992.01,89230.26,88380.5,89094.01
1740469500,89094.01,89369.97,88941.82,89154.41
1740469800,89154.41,89583.78,89046,89495.98
1740470100,89495.98,89567.85,89313.89,89320.01
1740470400,89320.01,89805.03,89012.03,89794
1740470700,89794.01,89978.83,89600,89910.69
1740471000,89910.7,89965,89723.53,89841.17
1740471300,89841.17,90000,89710.96,89951.74
1740471600,89951.74,89979.8,89700,89722
1740471900,89722.01,89741.43,89572.21,89659.24
1740472200,89659.23,89937.82,89640.98,89890
